bytes,percentage,filenames,linenumbers
24576,96.85,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,228
192,0.76,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,50
128,0.5,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,329
112,0.44,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,264
96,0.38,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,327
80,0.32,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,97
80,0.32,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,56
64,0.25,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,35
32,0.13,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,265
16,0.06,/Users/baffier/.julia/packages/ConstraintDomains/3RcIA/src/explore.jl,301
